match_id,player,row,pts,pts_won,first_in,aces,svc_winners,rally_winners,rally_forced,unforced,dfs
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Joao Fonseca,Deuce,7,4,5,0,3,0,1,2,0
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Rafael Jodar,Deuce,10,8,7,0,1,1,3,1,0
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Joao Fonseca,STotal,28,16,18,0,7,2,4,6,2
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Rafael Jodar,STotal,36,26,23,2,6,8,5,7,0
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Rafael Jodar,BP,5,3,2,0,1,0,0,2,0
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Alex De Minaur,BP,13,7,8,0,2,1,2,1,1
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Rafael Jodar,GP,8,6,4,0,1,2,1,1,0
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Alex De Minaur,GP,7,2,3,0,0,0,0,3,0
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Rafael Jodar,Deuce,6,4,3,1,1,1,0,1,0
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Alex De Minaur,Deuce,10,3,8,0,1,0,1,2,0
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Rafael Jodar,STotal,19,13,9,1,3,3,1,4,0
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Alex De Minaur,STotal,30,12,19,0,3,1,3,6,1
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Hubert Hurkacz,BP,3,3,1,1,1,0,1,0,0
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Jaime Faria,BP,6,3,4,1,0,1,1,3,0
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Hubert Hurkacz,GP,9,9,5,3,1,3,0,0,0
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Jaime Faria,GP,11,6,6,0,0,1,2,4,0
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Hubert Hurkacz,Deuce,5,2,5,1,0,1,0,0,0
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Jaime Faria,Deuce,8,5,6,0,0,3,0,2,0
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Hubert Hurkacz,STotal,17,14,11,5,2,4,1,0,0
20260422-M-Madrid_Masters-R128-Hubert_Hurkacz-Jaime_Faria,Jaime Faria,STotal,25,14,16,1,0,5,3,9,0
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Arthur Fils,BP,8,5,4,1,0,3,1,2,1
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Andrey Rublev,BP,19,14,13,1,1,3,3,2,0
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Arthur Fils,GP,13,7,8,1,1,2,1,3,0
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Andrey Rublev,GP,12,5,8,0,4,1,0,1,0
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Arthur Fils,Deuce,5,4,4,0,2,1,0,1,0
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Andrey Rublev,Deuce,17,5,11,0,3,0,1,6,0
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Arthur Fils,STotal,26,16,16,2,3,6,2,6,1
20260419-M-Barcelona-F-Arthur_Fils-Andrey_Rublev,Andrey Rublev,STotal,48,24,32,1,8,4,4,9,0
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Rafael Jodar,BP,13,10,9,1,3,0,2,3,0
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Arthur Fils,BP,7,6,3,0,2,2,1,1,0
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Rafael Jodar,GP,17,10,10,1,0,3,1,4,0
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Arthur Fils,GP,17,12,9,0,3,4,2,2,2
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Rafael Jodar,Deuce,7,5,4,0,0,1,2,0,0
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Arthur Fils,Deuce,9,6,6,0,1,2,2,1,0
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Rafael Jodar,STotal,37,25,23,2,3,4,5,7,0
20260418-M-Barcelona-SF-Rafael_Jodar-Arthur_Fils,Arthur Fils,STotal,33,24,18,0,6,8,5,4,2
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Ben Shelton,BP,1,0,1,0,0,0,0,0,0
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Joao Fonseca,BP,7,5,4,0,0,1,2,2,0
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Ben Shelton,GP,18,13,9,1,6,4,2,5,0
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Joao Fonseca,GP,17,11,11,1,3,2,0,6,0
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Ben Shelton,Deuce,4,4,4,2,0,1,0,0,0
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Joao Fonseca,Deuce,6,3,5,0,1,2,0,1,0
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Ben Shelton,STotal,23,17,14,3,6,5,2,5,0
20260417-M-Munich-QF-Ben_Shelton-Joao_Fonseca,Joao Fonseca,STotal,30,19,20,1,4,5,2,9,0
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Rafael Jodar,BP,4,2,2,1,0,0,1,2,0
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Cameron Norrie,BP,9,4,5,0,1,1,0,1,0
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Rafael Jodar,GP,7,7,3,0,2,2,1,0,0
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Cameron Norrie,GP,7,3,4,0,1,0,2,2,0
20260417-M-Barcelona-QF-Rafael_Jodar-Cameron_Norrie,Rafael Jodar,Deuce,2,1,2,0,0,1,0,1,0
