match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Jannik Sinner,Approach,8,5,2,1,0,2,0,36
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Jannik Sinner,NetPointsRallies,12,7,5,1,3,1,0,69
20260429-M-Madrid_Masters-QF-Rafael_Jodar-Jannik_Sinner,Jannik Sinner,ApproachRallies,5,3,1,1,0,1,0,28
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Arthur Fils,NetPoints,4,2,1,1,1,0,1,35
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Arthur Fils,Approach,2,0,0,0,1,0,1,18
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Arthur Fils,NetPointsRallies,4,2,1,1,1,0,1,35
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Arthur Fils,ApproachRallies,2,0,0,0,1,0,1,18
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Jiri Lehecka,NetPoints,11,7,5,1,1,1,1,65
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Jiri Lehecka,Approach,8,5,4,0,1,1,1,44
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Jiri Lehecka,NetPointsRallies,6,4,3,1,0,0,1,52
20260429-M-Madrid_Masters-QF-Arthur_Fils-Jiri_Lehecka,Jiri Lehecka,ApproachRallies,3,2,2,0,0,0,1,31
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Casper Ruud,NetPoints,17,12,9,1,3,0,0,105
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Casper Ruud,Approach,5,4,3,0,1,0,0,24
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Casper Ruud,NetPointsRallies,15,11,9,1,2,0,0,98
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Casper Ruud,ApproachRallies,3,3,3,0,0,0,0,17
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Stefanos Tsitsipas,NetPoints,47,33,22,9,8,5,0,198
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Stefanos Tsitsipas,Approach,24,15,11,2,5,3,0,90
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Stefanos Tsitsipas,NetPointsRallies,29,21,13,7,4,4,0,144
20260428-M-Madrid_Masters-R16-Casper_Ruud-Stefanos_Tsitsipas,Stefanos Tsitsipas,ApproachRallies,6,3,2,0,1,2,0,36
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Arthur Fils,NetPoints,12,8,6,1,1,2,1,90
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Arthur Fils,Approach,6,4,3,1,1,0,1,31
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Arthur Fils,NetPointsRallies,11,8,6,1,0,2,1,88
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Arthur Fils,ApproachRallies,5,4,3,1,0,0,1,29
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Tomas Martin Etcheverry,NetPoints,9,3,1,1,3,3,0,74
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Tomas Martin Etcheverry,Approach,5,2,1,0,1,2,0,42
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Tomas Martin Etcheverry,NetPointsRallies,9,3,1,1,3,3,0,74
20260428-M-Madrid_Masters-R16-Arthur_Fils-Tomas_Martin_Etcheverry,Tomas Martin Etcheverry,ApproachRallies,5,2,1,0,1,2,0,42
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Joao Fonseca,NetPoints,6,2,1,1,2,2,0,31
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Joao Fonseca,Approach,4,2,1,1,2,0,0,15
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Joao Fonseca,NetPointsRallies,5,1,0,1,2,2,0,28
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Joao Fonseca,ApproachRallies,3,1,0,1,2,0,0,12
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Rafael Jodar,NetPoints,15,13,8,4,0,2,0,81
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Rafael Jodar,Approach,7,5,2,3,0,2,0,45
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Rafael Jodar,NetPointsRallies,15,13,8,4,0,2,0,81
20260426-M-Madrid_Masters-R32-Joao_Fonseca-Rafael_Jodar,Rafael Jodar,ApproachRallies,7,5,2,3,0,2,0,45
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Rafael Jodar,NetPoints,1,1,1,0,0,0,0,6
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Rafael Jodar,NetPointsRallies,1,1,1,0,0,0,0,6
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Alex De Minaur,NetPoints,2,1,0,1,0,1,0,18
20260424-M-Madrid_Masters-R64-Rafael_Jodar-Alex_De_Minaur,Alex De Minaur,Approach,1,0,0,0,0,1,0,9
